method,n,spearman,pearson,n_sign,sign_accuracy,sign_coverage,balanced_sign_accuracy,rmse,mae
raw NTv3 650M pre,2833,0.03505451575785123,0.031023868651464857,1020,0.5147058823529411,1.0,0.5126942317056975,,
calibrated_model,2833,-0.01127953014993006,0.0019335158004850494,1020,0.903921568627451,1.0,0.5,0.3047149274320923,0.21145824701894597
additive_zero,2833,,,1020,0.0,0.0,0.0,0.3537617081680275,0.24849778276753393
training_mean,2833,-0.04196320267700872,-0.05152753827811037,1020,0.903921568627451,1.0,0.5,0.30478457981889856,0.21149399319367665
training_median,2833,-0.04233810281205424,-0.04828997003529603,1020,0.903921568627451,1.0,0.5,0.30632852791559256,0.20950922521592216
sequence_only_kmer_ridge,2833,0.09987065284202376,0.09728243712472663,1020,0.8823529411764706,1.0,0.5245473460533888,0.31238897966218987,0.22165993274896398
