method,n,spearman,pearson,n_sign,sign_accuracy,sign_coverage,balanced_sign_accuracy,rmse,mae
raw Evo 2 7B base,2833,0.02051108676565486,0.003022670234552561,1020,0.5245098039215687,1.0,0.5272367081322769,,
calibrated_model,2833,-0.05036219560181685,-0.06647192592954022,1020,0.903921568627451,1.0,0.5,0.3049815854031813,0.21150323810149266
additive_zero,2833,,,1020,0.0,0.0,0.0,0.3537617081680275,0.24849778276753393
training_mean,2833,-0.04196320267700872,-0.051527538278110366,1020,0.903921568627451,1.0,0.5,0.30478457981889856,0.21149399319367665
training_median,2833,-0.04233810281205424,-0.04828997003529605,1020,0.903921568627451,1.0,0.5,0.30632852791559256,0.20950922521592216
sequence_only_kmer_ridge,2833,0.09987065284202376,0.09728243712473109,1020,0.8823529411764706,1.0,0.5245473460533888,0.31238897966218865,0.22165993274896265
