method,n,spearman,pearson,n_sign,sign_accuracy,sign_coverage,balanced_sign_accuracy,rmse,mae
raw NTv3 100M pre,2833,0.02107528994873613,-0.011463930629957566,1020,0.5058823529411764,1.0,0.5078135375625304,,
calibrated_model,2833,-0.04343673874870745,-0.03270935480908522,1020,0.903921568627451,1.0,0.5,0.3048135684985757,0.2116462504349175
additive_zero,2833,,,1020,0.0,0.0,0.0,0.3537617081680275,0.24849778276753393
training_mean,2833,-0.04196320267700872,-0.05152753827811035,1020,0.903921568627451,1.0,0.5,0.30478457981889856,0.21149399319367665
training_median,2833,-0.04233810281205424,-0.04828997003529606,1020,0.903921568627451,1.0,0.5,0.30632852791559256,0.20950922521592216
sequence_only_kmer_ridge,2833,0.09987065284202376,0.09728243712465048,1020,0.8823529411764706,1.0,0.5245473460533888,0.3123889796621984,0.22165993274896642
